Time,Temperature,Humidity,Pressure,Light,Noise
2020-07-31 14:22:58,60.5,43.8,1005.7,357.3,46.5
2020-07-31 14:36:56,72.7,38.3,1005.8,534.2,56.6
2020-07-31 14:51:54,73.9,38.2,1005.7,551.7,56.2
2020-07-31 15:06:52,74.2,37.9,1005.7,500.8,49.5
2020-07-31 15:21:50,74.7,37.2,1005.7,516.8,52.2
2020-07-31 15:36:48,73.5,37.1,1005.7,489.5,56.3
2020-07-31 15:51:46,74.6,36.8,1005.6,396.2,71.3
2020-07-31 16:06:44,75.1,37.3,1005.5,386.5,59.1
2020-07-31 16:21:42,74.6,38.2,1005.4,334.0,72.1
2020-07-31 16:36:40,76.2,37.1,1005.4,373.2,57.8
2020-07-31 16:51:38,76.2,36.9,1005.3,265.8,65.0
2020-07-31 17:06:35,77.0,37.7,1005.2,258.3,59.9
2020-07-31 17:21:33,76.9,36.7,1005.3,280.4,60.4
2020-07-31 17:36:31,77.4,36.7,1005.4,309.3,59.4
2020-07-31 17:51:29,77.4,37.9,1005.4,340.8,63.7
2020-07-31 18:06:27,77.3,38.4,1005.3,319.6,53.2
2020-07-31 18:21:25,78.1,38.6,1005.4,312.2,51.9
2020-07-31 18:36:23,78.4,38.9,1005.4,279.2,60.2
2020-07-31 18:51:21,78.4,38.7,1005.4,243.5,52.3
2020-07-31 19:06:19,80.0,38.7,1005.5,199.4,71.0
2020-07-31 19:21:17,79.1,39.1,1005.5,140.5,64.7
2020-07-31 19:36:15,79.6,39.0,1005.6,66.4,50.0
2020-07-31 19:51:13,80.1,39.3,1005.7,36.5,52.6
2020-07-31 20:06:11,80.0,39.3,1005.8,5.7,60.4
2020-07-31 20:21:09,80.3,38.5,1005.9,0,51.2
2020-07-31 20:36:07,79.7,38.1,1006.0,0,56.8
2020-07-31 20:51:05,79.5,37.8,1006.2,0,61.5
2020-07-31 21:06:03,78.5,37.6,1006.5,0,69.1
2020-07-31 21:21:01,78.1,36.6,1006.7,111.0,69.4
2020-07-31 21:35:59,79.3,37.1,1006.9,108.8,71.0
2020-07-31 21:50:56,77.9,36.6,1006.9,104.7,77.8
2020-07-31 22:05:54,78.0,35.8,1007.1,110.6,58.2
2020-07-31 22:20:52,78.7,36.0,1007.1,110.6,72.2
2020-07-31 22:35:50,77.2,36.1,1007.3,110.6,54.3
2020-07-31 22:50:48,77.9,36.0,1007.4,110.6,62.7
2020-07-31 23:05:46,74.7,36.3,1007.3,106.5,57.6
2020-07-31 23:20:44,77.0,35.9,1007.3,106.5,58.0
2020-07-31 23:35:42,76.1,35.8,1007.3,106.5,54.7
2020-07-31 23:50:40,76.2,35.6,1007.4,106.5,49.3
2020-08-01 00:05:38,77.3,35.2,1007.7,106.5,60.7
2020-08-01 00:20:36,74.5,35.0,1007.6,0,52.5
2020-08-01 00:35:34,76.1,34.8,1007.6,0,56.2
2020-08-01 00:50:32,75.4,35.1,1007.5,0,50.5
2020-08-01 01:05:30,73.8,35.1,1007.4,0,25.9
2020-08-01 01:20:28,78.8,34.6,1007.4,0,59.1
