Time,Temperature,Humidity,Pressure,Light,Noise
2020-08-03 12:02:01,63.6,41.5,1013.3,0,52.9
2020-08-03 12:15:59,74.1,35.0,1013.3,0,66.9
2020-08-03 12:30:57,75.8,33.3,1013.3,0,64.7
2020-08-03 12:45:55,77.6,33.2,1013.2,0,53.0
2020-08-03 13:00:53,77.2,33.2,1013.2,4.4,76.2
2020-08-03 13:15:51,77.1,33.3,1013.2,2.5,68.2
2020-08-03 13:30:49,77.3,33.4,1013.2,8.6,58.1
2020-08-03 13:45:47,78.0,33.3,1013.1,0,55.8
2020-08-03 14:00:45,78.3,33.1,1013.2,3.7,51.6
2020-08-03 14:15:43,77.6,33.5,1013.2,6.7,55.7
2020-08-03 14:30:41,77.9,33.4,1013.3,4.4,62.2
2020-08-03 14:45:38,77.8,33.2,1013.2,1.5,62.6
2020-08-03 15:00:36,78.6,33.1,1013.2,0,48.6
2020-08-03 15:15:34,78.3,33.1,1013.2,27.3,66.0
2020-08-03 15:30:32,79.1,33.0,1013.2,28.9,61.0
2020-08-03 15:45:30,80.2,32.7,1013.1,4.6,52.7
2020-08-03 16:00:28,79.8,32.5,1012.8,0,53.1
2020-08-03 16:15:26,78.9,32.5,1012.8,27.5,65.9
2020-08-03 16:30:24,80.1,33.1,1012.6,29.4,53.8
2020-08-03 16:45:22,79.3,33.0,1012.5,27.3,73.9
2020-08-03 17:00:20,78.6,32.8,1012.5,30.2,53.2
2020-08-03 17:15:18,79.2,32.5,1012.7,31.2,51.8
2020-08-03 17:30:16,78.6,32.4,1012.9,26.6,69.9
2020-08-03 17:45:14,79.4,33.4,1013.1,0,57.7
2020-08-03 18:00:12,78.3,33.4,1012.8,0,59.7
2020-08-03 18:15:10,77.1,33.8,1013.0,0,46.4
2020-08-03 18:30:08,78.6,33.4,1012.9,0,77.2
2020-08-03 18:45:06,78.5,33.0,1013.0,0,57.3
2020-08-03 19:00:04,79.2,33.0,1013.1,0,55.2
2020-08-03 19:15:02,79.0,33.0,1013.0,0,61.8
2020-08-03 19:29:59,79.0,32.8,1013.1,0,61.8
2020-08-03 19:44:57,78.8,32.5,1013.2,22.8,77.1
2020-08-03 19:59:55,79.5,31.7,1013.5,22.6,48.6
2020-08-03 20:14:53,78.4,31.6,1013.5,21.8,61.3
2020-08-03 20:29:51,78.0,31.7,1013.5,22.9,70.7
2020-08-03 20:44:49,78.9,31.3,1013.6,21.1,61.2
2020-08-03 20:59:47,77.8,31.4,1013.6,20.7,79.5
2020-08-03 21:14:45,76.9,31.8,1014.7,20.2,59.8
2020-08-03 21:29:43,77.5,33.6,1015.5,22.4,57.3
2020-08-03 21:44:41,76.8,31.8,1014.6,22.5,53.9
2020-08-03 21:59:39,77.4,31.3,1014.2,22.5,55.7
2020-08-03 22:14:37,76.1,31.2,1014.2,22.4,48.5
2020-08-03 22:29:35,75.2,31.8,1014.1,21.4,40.0
2020-08-03 22:44:33,75.1,31.6,1014.1,23.3,49.8
2020-08-03 22:59:31,76.4,31.3,1014.1,23.6,40.8
2020-08-03 23:14:29,75.0,31.4,1013.7,0,50.0
2020-08-03 23:29:27,75.1,31.1,1013.5,0,52.0
2020-08-03 23:44:25,75.1,31.6,1013.4,0,42.5
2020-08-03 23:59:23,75.3,31.5,1013.7,0,48.6
2020-08-04 00:14:21,74.3,31.1,1014.2,0,54.2
2020-08-04 00:29:18,75.3,30.9,1014.4,0,47.3
